,avg_log2FC,p_val_adj
FZD6,5.462463,1.2659605718784616e-54
CERS6,2.7043383,7.22835679174673e-54
PTTG1IP,2.40088,8.510438651497625e-54
ETV6,1.7762547,1.9111912775918328e-53
RERE,2.0001376,2.551795040534428e-53
AGPAT5,2.4885638,3.4043295086502687e-53
SEC63,1.8438296,5.29176489071638e-53
GRK3,4.142532,9.48821487000941e-53
TMEM123,1.7366822,1.839458058101918e-52
SPPL3,1.5129852,2.5003668513467685e-52
CD2AP,1.7357371,3.085926933325977e-52
GUCY1A1,5.497388,3.343531624250708e-52
PTBP2,1.3014884,3.855268874670713e-52
GALNT2,2.4626303,9.311517950904955e-52
DNAJC1,1.4176157,1.386863263313105e-51
GSTP1,1.9133865,2.0084525410680396e-51
MED12L,4.648581,3.148217744147389e-51
KHDRBS1,1.4701831,1.4154841326007046e-50
ZBTB8A,5.6869874,2.981218678483024e-50
CEP170,2.8176029,1.0734713252946364e-49
PKD2,3.2244112,1.1230850137405842e-49
TAPT1,1.9152769,1.4180747890326438e-49
ARID1A,1.8252294,1.4915766142260348e-49
PIAS1,1.0685915,1.863435876341108e-49
SCAI,2.6588733,2.9014850144260956e-49
RCN2,1.8907095,3.862549658443275e-49
CEP70,3.19451,5.557737071310721e-49
SPINK2,5.953154,6.596488755765537e-49
STAM,1.8519522,4.026806261350964e-48
STAT1,1.5512453,5.2220348518254136e-48
YY1,1.6074831,6.213541412111257e-48
PEAK1,3.4946747,9.537211377761643e-48
KCNQ5,2.0861301,2.10969485964614e-47
TAOK3,1.6229157,2.3729188713917987e-47
ZFY,2.340735,2.537894401661971e-47
ARHGAP10,2.3378334,4.991222331745889e-47
TLK1,1.3637776,6.254428659906785e-47
CCDC57,2.7679427,1.033273420923026e-46
NFATC3,2.2343783,1.2851786213791614e-46
ZNF326,1.6344626,1.6613317382810985e-46
ABHD2,1.8346447,2.57563607090781e-46
PHTF1,2.3117375,3.4677532877088092e-46
HDAC9,2.728094,5.2736219871675934e-46
STRBP,2.6406178,7.60930729208345e-46
ABCA1,4.0224853,1.0174168832930776e-45
NT5C2,1.7205617,1.5115402994548978e-45
TOP2B,1.6627764,1.8889099981209283e-45
FOXN3,1.2426084,2.152708437308104e-45
CBX4,1.7289056,3.676570913892115e-45
ZNF827,2.058542,4.603680572406172e-45
ARHGAP32,5.3554626,5.241879430524263e-45
N4BP2,2.735474,1.1427774864757672e-44
GLUL,2.2761781,1.4539026369478704e-44
BTBD7,1.7350945,3.342031107416086e-44
ARHGAP25,1.8425665,3.7651840491743167e-44
RTN4,1.4413991,4.052194877147842e-44
CBFA2T3,5.1730356,5.930678914484259e-44
TUBA1A,1.6109146,2.5982998048526786e-43
CD7,1.6482996,4.8960902509614154e-43
PELI2,1.9045385,6.7711551627448985e-43
ATF7IP2,2.2535486,8.164378115261763e-43
ELMO1,1.2326218,1.49817024421612e-42
PPP3R1,1.3237836,1.5146431091857336e-42
FLT3,5.652508,1.743095658545957e-42
LYN,1.6557957,2.684097128378391e-42
MAST4,3.9051664,3.309734298004609e-42
JCHAIN,6.441999,5.849947986210776e-42
DICER1,1.8361864,6.520093426761923e-42
TFRC,1.5845733,6.699633617026219e-42
MSRB3,5.16717,1.3153278316266528e-41
HDAC2,2.1489277,1.3585799893019907e-41
IREB2,1.8711369,1.592168899128231e-41
ZEB1,1.1826087,1.855878070481315e-41
SMURF2,1.5580606,2.0419577603265637e-41
GPBP1L1,1.5420924,2.810270825524135e-41
CHSY1,2.5590146,2.8731087112960406e-41
RNF168,1.531593,3.093760416874935e-41
RUBCNL,4.658998,4.4078857523285444e-41
NBDY,1.6457657,7.583178983367021e-41
TUBB,2.5782514,9.221646766913055e-41
TUT4,1.2424318,1.793247257256553e-40
TRD-AS1,3.906232,2.0061087008798295e-40
CD109,4.08245,2.8960554751246656e-40
LRP12,4.3892393,7.962529958080678e-40
HHEX,4.857335,8.284871147312032e-40
ARID2,1.2298577,8.502365404744461e-40
TRIM24,2.4594593,1.1482748073713798e-39
PIK3CA,1.3574077,1.5575175749209374e-39
ELOVL5,1.2299011,2.2504681798624025e-39
CRIM1,2.0904617,6.63448015298074e-39
ACTG1,1.1257881,7.361037335762785e-39
TRAK1,1.8272698,7.715883894692796e-39
BPTF,1.2949473,8.415967919299181e-39
RNF24,2.5134997,1.0940920328492975e-38
RB1,1.9972205,1.373947254980647e-38
MAPK8,1.1834705,1.4616064604222718e-38
ABHD17B,1.7564394,2.1568505281380682e-38
MOB1B,2.015708,2.828631370908376e-38
SPTBN1,1.5671182,3.8619191883966665e-38
FAM30A,4.9006658,4.850216232028016e-38
MAP3K8,1.255551,5.829259236040595e-38
PKN2,1.2107413,6.939041196928259e-38
KLF7,3.1750662,8.02647772659166e-38
BCL2,1.7526389,9.739124682555652e-38
FURIN,2.5427413,1.1127295240914225e-37
CCDC171,3.5906353,1.239279891966978e-37
SNHG8,1.1853738,2.756148104327546e-37
TXN,1.5515947,4.83031609016584e-37
KDM1A,1.8229538,5.779920389182551e-37
SACM1L,1.5636493,9.935299963783625e-37
NGLY1,1.5571289,1.2437714422199114e-36
SDHAP1,2.62985,1.524958831899469e-36
RAB8B,0.9713676,1.764079678343124e-36
HMGN1,1.2566118,2.3975240394245527e-36
MIS18BP1,1.6067193,3.733060838597417e-36
PRKACB,1.4903132,3.917253750856319e-36
CUX1,1.8698404,1.2053933292114322e-35
SPECC1L,2.6658728,1.3394693387611938e-35
RILPL2,1.9575014,1.5335841882374885e-35
SYK,3.5030594,2.0070976279043687e-35
UBE2Q2P1,2.3453248,4.334843194948722e-35
PBRM1,1.5919398,4.5368396468654096e-35
YWHAQ,1.4401908,4.889849607077966e-35
TAMALIN,2.7671123,5.241325061750852e-35
DAPK1,3.4887457,6.160908563548099e-35
SMARCC1,1.1950767,6.482916068160054e-35
SEC31A,1.4057022,7.212837798802828e-35
SLC25A36,1.1780299,9.627774453326052e-35
MARK3,1.1808985,1.7975536862408915e-34
TP53INP1,1.7941543,1.8319209311455189e-34
CDK19,2.2871704,2.1715472290725494e-34
RREB1,1.5543008,2.2401132217304326e-34
ARL5B,2.323005,2.2503065719411674e-34
MX1,1.7034905,2.6881989959094985e-34
JPT1,1.5968864,3.481691155860813e-34
ANTXR2,3.2252908,5.4819826040224765e-34
DSTN,1.710743,5.482378511069093e-34
ATP6V1H,1.432077,7.695872454568546e-34
ADNP,1.245749,1.1249850245101367e-33
COL24A1,5.150086,1.6939584326957515e-33
GNPTAB,1.2255863,1.7757212738304306e-33
UPF2,1.7730887,2.1324515678119323e-33
VCL,3.0744684,2.565945004068778e-33
FOXK2,1.4758694,2.6600123325074327e-33
GTF2F2,1.4894861,4.4692860262532024e-33
RELL1,1.2650461,4.9619082454013844e-33
PTGER4,1.2989018,5.984087563731271e-33
SLC15A4,1.7841946,6.508665273169666e-33
ZNF433-AS1,2.4453142,7.710854940378588e-33
CEP85L,1.225834,9.528171757290171e-33
CAPRIN1,1.5772771,1.2264670812526143e-32
VGLL4,2.1572616,1.658053698302017e-32
RAPGEF2,1.1742961,2.3082636500305172e-32
MANBA,2.0484245,2.647033930591733e-32
AP1S3,3.4107058,2.7202930285600034e-32
SLC9A7,3.5698204,4.217918689066181e-32
SIN3A,1.8645635,5.857179392830308e-32
ZNF521,5.546578,7.091540840437926e-32
CPT1A,1.938023,1.7060673444323966e-31
CDK2AP1,3.5311382,1.8074257616199038e-31
COX5A,1.5783658,1.8339322035648906e-31
ZNF254,1.4697669,2.236598776742189e-31
BLK,3.1241622,2.647731255242128e-31
CAMK2G,3.0365503,2.69964334565205e-31
LAT2,3.980299,2.988851260463546e-31
MALT1,1.108385,3.2310938980040884e-31
HECTD4,1.6101402,3.4358516774894238e-31
REV3L,1.4091349,4.150413931551513e-31
SET,1.0508316,4.362279560420855e-31
SPTLC2,2.0679061,4.401856852328838e-31
SEC61B,1.0280534,4.508481031673622e-31
S100Z,5.460026,6.028723471485723e-31
FAM168A,2.439131,6.753821140367668e-31
ANP32A,1.7406102,8.728386337566256e-31
LAPTM4A,1.4151328,8.812679042332856e-31
GOLIM4,2.924198,9.975487010551122e-31
CUL5,1.1898721,1.1728456067653132e-30
PHACTR4,1.9818825,1.3646263958082656e-30
GIHCG,4.81696,1.4629930780585824e-30
VAPA,1.0720842,1.6178403054098112e-30
TRAF5,1.8369995,1.8619336374562833e-30
USP6NL,4.148949,1.869146789417742e-30
TCF7L2,2.3193252,1.9324191654861395e-30
GYPC,1.1529001,1.9324191654861395e-30
GMDS,1.4207777,2.391339676156883e-30
MYO7B,4.1874914,2.6626594657098225e-30
SEC24B,0.9628374,2.9512691050599288e-30
NF1,1.2775432,3.562517681348148e-30
RUNX1,1.062016,4.260864454647009e-30
ATAD2B,1.0916644,4.2979695144091254e-30
PLSCR1,1.981909,4.8978752037058334e-30
ADD1,1.6438826,7.491086564507956e-30
SLC38A4-AS1,3.5244405,8.431252506239475e-30
SASH3,1.89945,1.523173892248103e-29
P2RX1,4.8694763,2.1650833172118758e-29
RNASET2,1.987691,2.278707091169952e-29
AGO3,1.3595223,2.3367114693940047e-29
BCL7A,4.2674694,2.382074910719566e-29
CSNK1G1,1.7833925,2.8253466710532194e-29
BACE2,4.7843266,3.289838922175685e-29
B4GALT6,3.775171,4.6932427704088844e-29
IRF2BP2,1.028966,6.272810593012277e-29
LSM7,1.2793686,6.497714069955993e-29
BNIP2,1.2159333,7.440032880091724e-29
PAFAH1B2,2.055678,7.889110978906884e-29
GMCL1,1.530406,8.789538354099828e-29
REST,1.6375263,9.178830298575604e-29
ARHGAP5,1.4199944,1.2246646829505811e-28
ACAP2,1.0769057,1.2620945067040734e-28
TGFBR1,2.4661288,1.640195034107952e-28
ARIH1,0.8501459,1.7687171945198377e-28
NAA15,1.4493387,2.8757423761085293e-28
KIAA1958,3.3639867,4.5458704911778785e-28
PAK1,3.030356,5.1515605080507805e-28
NPEPPS,1.2405163,5.689773844781266e-28
FOXJ3,1.0978624,6.441429632423849e-28
IRAK3,3.9817996,7.394283906024052e-28
MYO9A,2.0471423,7.946363658511347e-28
H2AZ2,1.054279,9.969255558872605e-28
PI4KA,1.3482403,1.0030492582290777e-27
NUDT3,1.5734643,1.4636250386406135e-27
CAT,2.941979,1.701424985156076e-27
ARFGAP3,1.3807511,1.8270881908442766e-27
HES4,2.493784,2.4581710333261525e-27
TSC22D1,2.4596398,2.807438621307916e-27
SP110,1.5082872,3.7754900029889814e-27
TTC28,3.639266,4.159772914274402e-27
FOSL2,1.2039138,4.6959713630417376e-27
CACUL1,1.652205,5.488275765967645e-27
USP22,1.4528936,7.135545176877385e-27
