,avg_log2FC,p_val_adj
SNHG14,2.0313861,4.414807433294256e-68
GNB4,3.658679,6.344212055340092e-68
KIAA1958,3.0341752,1.2150317765419223e-67
ABCC1,1.7879393,1.2757838017268569e-67
LINC01550,2.4022174,2.0110118758372847e-67
TXN,1.900507,2.2942488326918235e-67
LNCAROD,4.1875334,2.970904895016451e-67
CCDC171,3.3000522,3.699947478735461e-67
RFX7,2.02071,3.9615592971316946e-67
MGMT,2.0691915,4.8371158460210944e-67
ITGAE,2.5001197,9.181820363540829e-67
SPON1,3.3112123,6.969802439146594e-66
MAPK8,1.7100827,7.934851149629782e-66
MAP4K3,2.3951955,8.413716302455531e-66
ALOX12P2,3.6409316,1.4992448540049376e-65
TCF12,1.6424611,1.8331678852222429e-65
CAMTA1,1.8411999,3.8557404043917215e-65
CEP170,2.4403822,4.267691450723023e-65
ATP2C1,2.203907,9.328840133962851e-65
SEC63,1.9797939,2.364391547476606e-64
PSMA6,1.8660293,3.736387838107689e-64
TFDP2,1.862926,6.293547274485316e-64
NAALADL2,3.0430858,7.742910634444131e-64
GSTP1,1.9621627,8.217693009509501e-64
PLEKHA5,2.317432,9.206242280554818e-64
MBOAT2,3.5682724,1.4175112231298337e-63
SLC38A4-AS1,2.2840095,1.5903099979580235e-63
BCKDHB,2.3904974,3.020369650765104e-63
KCTD1,4.193443,1.1999152267217028e-62
MALRD1,3.856786,4.6756593761952045e-62
E2F3,2.6787882,5.772410710137609e-62
ANKRD17,1.6849102,7.497887797186565e-61
SORBS2,3.7182653,1.290053504557649e-60
MED12L,3.7366323,1.4219287789974015e-60
FNDC3A,1.7157648,1.4490044625028743e-60
NDUFAF6,2.6793,1.8883286631905382e-60
PALS2,2.5819716,2.2641505052062527e-60
MIR3667HG,2.87986,2.566271200968609e-60
SND1,1.562325,3.190358955999502e-60
SPINT2,2.6595745,5.33128220255691e-60
MYB,3.2667165,6.942088378062395e-60
OLA1,1.904912,3.7649204884767156e-59
CD7,1.6438231,4.137174831370052e-59
CDK5RAP3,2.0538213,4.30376480099857e-59
MIR646HG,3.090022,6.562384981618955e-59
BLK,2.8022213,6.8934669142738e-59
MLLT10,1.987281,8.615489710216256e-59
KHDRBS1,1.5905291,1.5730691876379738e-58
NSD2,2.3145974,2.14119709294317e-58
R3HDM1,1.8810692,2.3537799446670934e-58
MKRN3,4.277056,5.740209365411984e-58
SMIM24,3.4532547,3.3397497453712735e-57
PTPN14,3.891009,4.064387102648852e-57
ZNF544,2.83145,4.4100935126257715e-57
MAP4K4,1.6246239,5.950856283356873e-57
CNTLN,3.616623,7.393605241341982e-57
ZMYM4,2.159613,9.103885292163257e-57
CEP85L,1.5227062,9.722129675333052e-57
ITM2A,1.8669753,1.5800829796687642e-56
SCN2A,3.2485385,1.60040543864007e-56
STK33,3.4013398,2.559889566632924e-56
OSTC,1.8243524,3.547239004925962e-56
HMGB1,1.162598,2.112570029966869e-55
FAF1,1.3981841,3.798905940707331e-55
DENND1B,1.7283095,4.1088550548228686e-55
ATP11A,2.1494398,4.9998253935148364e-55
MLLT3,1.6115642,5.731014169300038e-55
FTX,1.5936662,1.5330118358571563e-54
