,avg_log2FC,p_val_adj
PPP3R1,1.426778,1.2580736147946873e-25
PHF14,1.6782492,1.6163334829110925e-25
TCERG1,1.5906875,1.716284069849887e-25
SFPQ,1.142236,2.5166846242529787e-25
DCUN1D1,2.2563996,2.8384630370388174e-25
KCNQ5,1.9635001,6.353529677322784e-25
FABP5,2.9403865,7.1162452494438e-25
H2AZ2,1.4637424,1.113649724535595e-24
TRIM24,2.382578,1.4225978771403475e-24
REPS1,1.7396828,1.53569851346919e-24
NUCB2,1.7242455,1.6070837948788142e-24
MACF1,1.2236729,1.6236036084022129e-24
MOB1B,2.9645224,1.862606906158723e-24
PCDH10,3.8663664,2.6661011282277985e-24
RORB,5.052337,2.7340826979370126e-24
ATP5F1A,1.8509316,4.6732823591199544e-24
SLTM,1.3666134,4.6908775124072826e-24
ZNF292,1.2096813,5.237956949320247e-24
TUBA1B,2.2321718,6.265829752287671e-24
KDM5B,2.0556254,1.1461434568588863e-23
MYC,2.3792408,2.502411861501882e-23
RTN4,1.4211911,2.818301493165399e-23
TMEM131L,1.4960054,2.8779576724347405e-23
RAD21,1.463461,3.411808630464543e-23
RFX3-DT,2.2519999,4.2323176705850754e-23
SMARCA4,1.8546921,4.259352373982581e-23
SRI,1.9979514,5.600996493641372e-23
MT-CO2,0.3939031,5.65108430058065e-23
ANKRD36C,1.6152909,1.1397659323648693e-22
KIAA1958,2.7650032,1.1703526482158795e-22
SLC18A2,4.4203095,1.1935129157629832e-22
DBN1,3.9254613,1.406885292522518e-22
RCC2,2.1740627,1.5456124047011757e-22
NASP,1.753535,1.8028098426340363e-22
P2RX5,4.207062,2.0087935223603355e-22
NONO,1.6237183,3.099445987711825e-22
SCAI,2.0872126,5.996206271977627e-22
FDFT1,1.9343789,1.0734895383841054e-21
SEPTIN11,1.9933218,1.0734895383841054e-21
COX5A,1.6364392,1.348792935113995e-21
LST1,2.774994,1.3708774451686197e-21
NREP,5.573558,1.4366270874918835e-21
CPQ,1.9393486,1.4790508563057241e-21
SYNCRIP,1.4677511,1.647647472307708e-21
NBAS,1.5769249,3.1931806826412656e-21
LMO4,2.2203271,3.9080883973630486e-21
YWHAG,1.924674,5.193833213641339e-21
BMP2K,2.6424882,5.4006349515703744e-21
ZNF326,1.5886388,5.693123561994957e-21
SMIM24,4.831861,7.340092228778935e-21
PPP1R14B,2.4105287,9.768789634161035e-21
SRGAP3,3.558881,1.1176252773833488e-20
ACTB,0.8948092,1.2276313826658255e-20
VEZT,1.6587577,1.360499786141327e-20
PCAT18,5.3333855,1.4649858804701652e-20
LUC7L3,1.1338395,1.505644762539745e-20
PIK3R3,2.9255676,1.5455911686090338e-20
TXNRD1,1.641775,1.6610949321473313e-20
HNRNPM,1.2923445,2.2693455851492115e-20
PCLAF,4.2117457,2.271933989628008e-20
VAT1,3.8091655,3.1901658384474355e-20
RBBP4,1.4867197,3.3886966900748146e-20
RYK,1.6252103,3.461599033762792e-20
ERGIC1,1.6756933,3.51107041364969e-20
CXXC5,3.1185403,3.5277253050272427e-20
EWSR1,1.4677088,3.531939852619646e-20
SPPL3,1.4069662,3.6661398445791487e-20
CD2AP,1.5266151,3.85295700754609e-20
CALM2,1.3506458,4.082853527574417e-20
TOP2B,1.5210122,4.205453243339093e-20
XPO1,1.7640802,4.911742760010908e-20
MYO9A,1.7041613,6.309142032662184e-20
MYO1G,1.869449,6.486445080253022e-20
EIF4A1,1.0940509,6.641367846963241e-20
HMGN1,1.3486242,6.820020119723083e-20
TAF4B,1.814896,7.812269747276733e-20
IDH2,1.865817,8.93562856191431e-20
ANGPT1,4.6803536,9.948783061428903e-20
PELI2,1.7839465,1.1119311895747084e-19
ARID1A,1.4132782,1.888091482210446e-19
PEX5L,4.5421195,1.911604490378625e-19
HACD3,1.6013463,2.3329081693445707e-19
CENPP,2.7574124,2.411702165861404e-19
CCT5,1.8666674,2.4587380027162343e-19
YWHAH,2.1462524,2.4706789524555633e-19
ILF2,1.52851,2.6367485967654903e-19
CSTPP1,1.9983835,2.6526600742020236e-19
BCKDHB,2.0776627,2.677093881807944e-19
HNRNPD,1.1329626,3.178225686730123e-19
IP6K2,1.4832487,3.178225686730123e-19
SLC39A8,1.945074,3.3063614227649557e-19
ATP5F1B,1.528596,3.3476175143994366e-19
ANP32A,1.5343813,3.9556090534806684e-19
HSP90AB1,0.96678895,4.3836539494277815e-19
BEX3,1.9478498,4.799204309919867e-19
CEP85L,1.3557401,5.494217537823772e-19
DHX15,1.3921376,5.721109008312624e-19
RHEB,1.7563914,6.176325498626572e-19
TRIM28,2.010918,6.4643608157103315e-19
GAPDH,1.2384114,8.460312939372725e-19
BAZ2B,2.0347595,8.833307360818017e-19
MYH10,3.6120048,9.312465891743705e-19
USP24,1.265389,9.596059007507452e-19
DENND1B,1.3670154,1.00015976421115e-18
HNRNPC,1.0368242,1.0131447995001944e-18
OLA1,1.5162022,1.0856163055202682e-18
RETN,5.6152096,1.1754129121445575e-18
APEX1,1.7996658,1.1959110996971117e-18
SEM1,1.5336666,1.1959110996971117e-18
DIAPH3,3.5115938,1.3267464196364183e-18
TCP1,1.7824318,1.6647863048331628e-18
DYNLL1,1.630239,1.6749689463126084e-18
GPR174,1.6360284,1.6986383109517035e-18
PBRM1,1.3569765,1.856238133884091e-18
HMGB3,4.47362,1.8644520406954905e-18
PCBP3,4.1391497,1.8844018993048482e-18
OSBPL3,1.6020044,1.978087422466834e-18
TFDP2,1.38936,2.194510353030923e-18
UBQLN1,1.5211741,2.414995934544835e-18
ANP32B,1.2342594,3.1283260592966075e-18
ELOVL4,4.414752,3.4242344524893848e-18
DNMT3A,2.0659423,4.035636260883642e-18
HSP90AA1,0.8046895,4.101533060079351e-18
PIKFYVE,1.8969276,4.291696604879506e-18
C16orf87,1.8878051,4.347154411859356e-18
H2AZ1,1.5619508,4.703874804583566e-18
PSMA4,1.522721,4.815538750111699e-18
CBFA2T3,3.7628722,4.902373971507878e-18
SNRPF,1.4492091,6.372657091867681e-18
ETV5,3.638849,6.6853152790500556e-18
RALY,1.3061808,7.001455740044035e-18
LINC01222,4.117775,7.522412556131509e-18
MLLT11,6.032368,8.02359594392437e-18
EEIG2,2.1139007,9.198148496894782e-18
CTNNBL1,1.700531,9.198148496894782e-18
EIF4G2,1.1565444,9.3839310832837e-18
MT-CO3,0.39240924,9.616033580884645e-18
TESC,2.4728105,9.881206852918406e-18
HSPD1,1.4622953,1.2060651790059726e-17
LINC01163,4.2261777,1.3337165909362282e-17
RB1,1.356801,1.4886781109983824e-17
ATP2A3,1.5090636,1.7020520100331008e-17
RANBP9,1.3416712,1.7895816921542208e-17
SOX5,3.2147894,1.8045422105515024e-17
NPEPPS,1.4769764,1.9869341524572426e-17
ZDHHC20,1.194028,2.26092536243684e-17
ZMYM2,1.193252,2.5593148366924445e-17
TRAF3IP2-AS1,2.4000738,2.7006450672208162e-17
PDLIM5,2.050877,2.9983434168214344e-17
SPRED2,3.2656796,3.020040060078268e-17
GSK3B,1.3386227,3.5447521954601456e-17
FAF1,1.1543663,3.5587367515311305e-17
CDKN2B-AS1,3.26274,4.297409322499326e-17
N4BP2,1.4264524,4.4556498857844156e-17
KPNA3,1.3891656,4.690585137227396e-17
PUM2,1.1467651,4.855400795439951e-17
ITPRID2,2.788682,4.855400795439951e-17
NAP1L1,0.9852435,5.369192784837538e-17
HLTF,2.6730723,5.4110144651174026e-17
ZNF711,4.4856496,5.961204033257249e-17
FRY,1.8324362,6.053396763101883e-17
TRAC,1.124049,6.370642169551216e-17
COTL1,1.3896275,7.699096233016914e-17
FNTB,3.3999844,7.89845346019571e-17
LINC00342,1.5301497,8.002995482661694e-17
ZMAT3,2.5047338,9.066447417807719e-17
FUBP1,1.176497,9.102556815438988e-17
EXOC6,1.4881153,9.623776713765145e-17
ILF3,1.286101,1.0011563217406217e-16
LBR,1.322873,1.1829387696837048e-16
FXR1,1.3209765,1.2206164649786284e-16
MTF2,1.4013686,1.2819776121823457e-16
KHSRP,1.883114,1.3037656228675415e-16
KCTD1,3.1699076,1.353936228593377e-16
PPA1,1.3531387,1.687355473495864e-16
PAICS,2.5202026,1.9318839460773505e-16
NCAPG2,2.2354836,2.0090804836247529e-16
TCF7,1.2544999,2.0518081195623215e-16
SEMA6D,4.980577,2.1201496457966273e-16
YEATS2,1.7275054,2.311763545125092e-16
WRN,1.541903,2.3709339133896143e-16
EIF3A,0.9913676,2.388690939473394e-16
ARID2,1.2254745,2.5481275886499446e-16
DNMT1,1.6416175,2.5488531883492023e-16
PFKP,2.0311632,2.690125459589925e-16
MIF,1.057921,3.257982068029762e-16
GORASP2,1.6212295,3.293659037528345e-16
B4GALT6,3.9230938,3.63933357788165e-16
CARHSP1,1.7070978,3.7163039564363503e-16
HNRNPA2B1,0.80178493,3.741116120823457e-16
MAP4K4,1.1784,4.09398625810269e-16
EPS15L1,1.5923262,4.1213157449709024e-16
TKT,1.5097893,4.157615809042539e-16
SPINT2,2.0822592,4.1964657632473915e-16
SERBP1,1.1650647,5.142353499680118e-16
ABCE1,1.7513276,5.300703185130014e-16
FBXO11,1.1992465,5.484034205037672e-16
MTA3,2.251115,5.491664825117238e-16
MAX,1.2498564,5.799211825349848e-16
MCM7,2.4592798,5.893394343901766e-16
PLEKHA5,2.4151173,6.22642194012537e-16
ADNP,1.2661531,6.254843940234234e-16
AIF1,2.0463908,6.3264442333204705e-16
PRKDC,1.250286,6.955357194264445e-16
TAFA2,1.7887074,7.165121205745627e-16
