,avg_log2FC,p_val_adj
PTPRD,4.488478,3.4693409438536796e-225
DENND1B,1.359468,5.883329454591171e-225
UGP2,2.0176384,6.701532704156884e-225
E2F3,2.302664,2.934804094952432e-220
VAV3,1.3942842,1.1793369729008034e-219
ITGAE,2.0362692,1.3162583667671492e-219
ENSG00000287544,4.8595924,4.04094248192387e-219
SPINT2,2.898551,9.323738743286584e-218
CBFA2T3,5.525175,8.62301831421908e-217
GPBP1L1,1.4800067,1.685421652295776e-216
CUL5,1.3383551,2.6826280328355634e-216
IGLL1,4.646954,1.0939864381929918e-215
RHEX,5.4881935,1.331607648829738e-215
BEX3,2.5113738,2.2439965466754714e-215
PNISR,1.0274907,7.1200204665288415e-214
CKLF,1.5636214,9.662514548410108e-214
KCTD1,5.106329,1.5018321488137962e-213
CCDC171,3.4269023,7.050715969872541e-213
ENSG00000287092,3.394652,1.7565307704359504e-212
PPP1R14B,2.265552,5.09544140219797e-212
BPTF,1.095833,1.7962864448511697e-211
PBRM1,1.4047625,3.974927916294538e-211
TUBA1B,1.7889549,5.153268267298304e-211
PUM1,1.1506069,7.796290988640417e-211
LST1,3.1813083,3.8935119117249477e-210
EXOC6,1.6838821,1.0324695991428385e-207
TTTY14,2.0765803,1.0390580730499726e-207
GXYLT2,4.628934,1.4777670355724473e-207
SEC31A,1.4508767,8.228855141054658e-206
SUPT3H,1.5118504,1.6983337259172626e-205
YWHAG,1.8617285,1.9162686152131578e-205
OLA1,1.4422238,4.4497325087139165e-203
MIS18BP1,1.5022706,4.583986260408547e-203
HNRNPR,1.3083588,4.6390650110857426e-203
TM7SF3,2.5558345,1.551312007390267e-202
CCDC138,2.7775853,1.3817215603212602e-201
ITM2C,3.1062415,4.0750248280181464e-201
SLC39A8,1.8972352,7.242114385526195e-201
WDFY2,1.5380545,5.343279944703704e-200
PEAK1,2.3608494,2.460723020621493e-199
ATXN3,1.8912404,3.459099864167662e-199
CNOT6,2.3530324,3.614908604984794e-199
FAF1,1.1352191,4.637403054965637e-199
ACTG1,1.0701616,1.1371085481807041e-198
ENSG00000290548,1.5789673,1.2285858449411455e-198
RBBP4,1.4484693,1.2518127778791356e-198
NPEPPS,1.4809428,3.314808852281976e-198
SMARCA4,1.7441682,3.396170675733828e-198
TRIO,2.949903,4.779009704075844e-197
ENO1,1.4391136,5.276650381058375e-196
SPRED2,3.0230663,2.9693129044157807e-195
ANP32A,1.6166682,3.5711557370584e-195
MIR646HG,3.6153076,8.806511882460503e-195
SCGB3A1,4.660961,3.871865497416625e-194
PTP4A2,1.1044594,4.730513665882459e-194
ZNF254,1.8591294,1.2698195523879745e-193
S100Z,5.0349174,1.726229510280311e-193
GSE1,1.6891931,1.5911142150924185e-192
MAP4K3,1.5717411,3.28247125417452e-191
NAA15,1.4516805,6.346221722790779e-190
PUM2,1.0500919,2.9128032289428806e-189
ELF2,1.2367873,4.499805056093753e-189
ABHD17B,1.9574875,6.8644251842813104e-189
WDPCP,1.6735327,7.803509730428944e-189
USP6NL,3.2370281,7.812164683707369e-189
NFATC3,1.4588436,1.01479369127865e-188
CDK2AP1,3.3349514,1.2892705827909528e-188
PRKCE,1.7069292,1.354976056616448e-188
TRIM24,2.2904027,3.257186121378358e-188
ZBTB20,0.99678504,4.783783420038671e-188
TFRC,1.573418,3.353448999878982e-187
VAPA,1.1435733,3.90971923608363e-187
LINC01819,4.49507,4.0866283768196253e-187
ERG,5.029851,6.876950123266303e-187
HHIP,6.114121,7.489121388392142e-187
R3HDM1,1.5194204,9.53721078327769e-187
SLC25A36,1.2871343,1.0341386625180184e-186
SMAD2,1.6127481,1.4182703461011074e-186
ARID2,1.1164625,7.963911430571825e-184
ENSG00000291214,1.6517706,1.4637793314630497e-183
PKN2,1.0809902,1.054795087285374e-181
CSTPP1,2.0712173,2.111988327899221e-181
HACD3,1.6077015,2.958130398455142e-181
GSK3B,1.2707152,3.3507058125533914e-181
KAT6B,1.1141033,2.6331831098040744e-180
SMG7,1.630315,1.5850542203083774e-179
SPIN1,2.1190464,2.8343143603935324e-179
TRGC2,1.8120573,5.4251949755888634e-179
IP6K2,1.4975573,1.7060532347226158e-177
UBE2G1,1.2638632,1.015272735524074e-176
ZMYM4,1.853894,1.8320750109650616e-176
CAMTA1,1.2910788,1.8413162240415963e-176
NSD2,1.9134443,1.389323403897417e-175
ARID1B,0.8994123,2.4371964915021633e-175
RERE,1.1857998,3.7858560706413673e-175
ATP2B4,1.3905606,5.385915298611472e-175
USP22,1.6848551,2.3330946509122353e-174
SERTAD2,2.2423885,2.990717076577577e-174
CERS6,1.3061483,1.0508134948327275e-173
BCKDHB,2.116142,1.333172321458803e-173
YWHAQ,1.2114346,6.3270237112472446e-173
NFAT5,1.1438589,8.723929258031441e-173
ANKRD17,1.1265255,1.1988911982237071e-172
YWHAH,2.6472406,1.8754623107206017e-172
CDC27,1.4572726,1.3227067377378128e-171
CPT1A,1.6674798,2.989585391482908e-171
PDS5B,1.2906233,3.5249131904328962e-171
ILF2,1.4565077,4.567807534367947e-170
MIR3667HG,2.1712492,5.245982239478834e-170
WWOX,1.2970548,2.0974611987271783e-169
COL24A1,5.207837,3.309602360854377e-169
ADNP,1.1796743,5.323538488209176e-169
SLC12A6,2.0001342,5.411281824857145e-169
SPECC1L,1.537281,7.812281728838445e-169
HES4,3.560973,1.2018222128623467e-168
UBE2R2,1.3634093,1.4663472659783842e-168
RNF24,2.5180793,1.0876910393269558e-167
TNRC18,1.7449416,5.9659398848721704e-167
ROCK1,1.0119612,5.43161560428348e-166
PCAT18,5.406854,5.95376773180457e-166
CDK19,1.7625605,6.260802274253918e-166
CEP85L,1.0905521,7.002193860405398e-166
YY1,1.1828063,2.2669771921187893e-165
VGLL4,2.040447,6.337625997546494e-165
TXNRD1,1.5046206,7.2145572383955355e-165
GMDS,1.2011483,7.483739302388301e-165
FNIP1,1.2040372,1.0218454264527934e-164
MT-CO2,0.38564762,2.1094640641075464e-164
SINHCAF,1.5246903,2.4890530229779292e-163
NRIP1,1.602532,2.7493279870140748e-163
TOP2B,1.214351,3.17591820957727e-163
PTTG1IP,2.1442363,4.953552588186715e-163
ANKRD10,1.4417813,1.0027177408906895e-162
CAPG,4.426941,1.2442118548709687e-162
MLEC,2.0323615,2.6143119110080985e-162
NARS2,2.4927406,5.58526217033553e-162
UBE2Q2,1.5728307,5.817095780771691e-162
PHACTR4,1.3797654,7.14020064126671e-162
ARHGAP32,3.1642258,9.075971243107043e-162
CPSF6,1.1271427,1.2281488842785319e-161
SFPQ,0.8533523,3.796945184181945e-161
ERGIC1,1.4553179,1.2420266199859888e-160
ENSG00000287042,3.5670233,1.2838063067858244e-159
NDUFAF6,1.7969342,1.4858936956911951e-159
HECTD4,1.3627781,3.864078357784714e-159
CLIP2,3.9561732,5.321432501503858e-159
PNN,0.9916426,5.455546909856293e-159
PACSIN2,1.5290319,8.785078969143505e-159
BAHCC1,5.1330523,1.5730339357225108e-158
APEX1,1.8918022,1.6103463778423803e-158
NGLY1,1.3317,2.354952529659432e-158
NUDT3,1.4628991,1.9852583256240155e-157
SPNS3,2.9421377,3.400262178457003e-157
FNDC3A,1.1079851,1.080292751570934e-156
PIKFYVE,1.5099128,1.8421989875178375e-156
ZEB1,0.995085,2.95090776153532e-156
FAM168A,1.8524835,8.703451512006282e-156
PRDX1,1.6157368,9.782562759378187e-156
CA8,5.355663,1.4061050554110492e-155
EIF2AK2,1.2848829,2.5133509173613484e-155
MYO9A,1.4194546,5.5987774274406735e-155
CENPU,3.2478013,3.32620598532226e-154
GPX1,1.5349779,5.008234958012411e-152
RB1CC1,0.96382105,1.2310742677170046e-151
MARK3,1.0881829,1.2807185872131615e-151
ATXN10,1.2859428,1.3984984493168726e-151
ALOX12P2,3.6636164,4.35488788484085e-151
SET,0.90357137,7.386003478808741e-151
DLG1,1.1334608,1.2571642118790227e-150
ITM2A,1.3750803,1.7795653701633995e-150
SNHG14,1.2022789,2.884565845909815e-150
RANBP9,1.1528066,6.663515479859637e-150
REPS1,1.2725093,7.356926947200754e-150
KIF5B,1.1300268,1.0279291480143916e-149
DNTT,4.4803066,3.363748858878078e-149
SVIL,1.636073,5.512402699728416e-149
AGO3,1.1756165,7.934228805563335e-149
ZFAND3,0.9416658,1.577406035267966e-148
SNRPE,1.395023,2.319656353379831e-148
GAS2,4.298708,7.752400149346652e-148
ACAP2,1.0634316,1.428454674341594e-147
STK3,2.8567152,1.8688391928870978e-147
KPNA3,1.240446,1.8688391928870978e-147
TALDO1,1.6817355,6.7066960889655435e-146
MAP2K5,1.4837912,7.788292876386613e-146
PDS5A,0.99529946,8.86606455782741e-146
LNCAROD,5.355615,9.253543578286021e-146
ADA,2.298355,1.0659989425700854e-145
MACF1,0.9270513,4.916382505745155e-145
DENND5A,2.2447076,5.998614426120086e-145
SSBP3,1.4170197,9.129911271615564e-145
PPM1A,1.1633228,3.7096947536711664e-143
TFEC,4.9990635,4.3483721891070245e-143
FOXK2,1.2792768,5.844836901228522e-143
DYNLL1,1.5335133,1.3026297940145398e-142
PSMA4,1.3373209,1.4800968075350794e-142
PSMD1,1.3523254,3.0673308278113133e-142
HNRNPM,0.98158115,5.40409471830006e-142
HMBOX1,1.5470871,6.125496201621086e-142
CSNK1G1,1.5186882,8.131299753799283e-142
PELI2,1.2488946,1.1446034450957333e-141
NBEA,2.6327312,1.7644763713844478e-141
EWSR1,1.082504,3.5338319953576175e-141
GAPDH,1.0655942,9.689971417381656e-141
ANTXR2,1.890369,1.1200337566419468e-140
ADGRE2,4.9401064,1.4837837426271609e-140
FGGY,2.801958,5.3561892880963595e-140
GAS7,2.339333,7.246588811792749e-140
MLLT10,1.3338556,1.9638050339055627e-139
CD38,1.7881727,2.2425033629278642e-139
SETD5,1.2150244,2.3133291802644668e-139
H2AZ1,1.2674048,8.71276298179309e-139
CDCA7,3.0433578,1.0724067486543244e-138
LAIR1,3.0717235,1.49270956194908e-138
YBX1,0.9096877,1.514628469658414e-138
RSRC1,1.185904,2.0032810845459725e-138
MBD5,1.0213385,2.0097855387744338e-137
TANC2,1.7110589,2.5894420543093184e-137
FKBP1A,1.3630807,2.861444718809627e-137
WDR43,1.2586422,7.864176541577111e-137
ZNF706,1.3339518,1.2201838345970695e-136
POU2F1,1.2003031,1.6588645677276453e-136
ARHGEF7,1.5472722,1.7516993566074053e-136
SHQ1,2.629363,1.7561726764183196e-136
CCDC57,1.3974197,2.1184226030950067e-136
TIMP2,3.535981,3.0867119785213906e-136
REV3L,1.0933965,8.410665697622548e-136
SIL1,2.1278243,2.4090116052822384e-135
FBXO11,0.9479286,4.2889995121312853e-135
HMGN1,0.9813944,6.257208292579375e-135
SLC39A11,1.518733,8.027988628621406e-135
DHX15,1.112767,8.40493276464505e-135
BZW2,1.5000318,1.1500408926634614e-134
NLK,1.7903447,1.498928361553036e-134
RREB1,1.2802712,1.818734423285401e-134
RNF220,2.3226638,1.8984017305847751e-134
ANGPT1,5.0943666,3.385400234779059e-134
ACACA,1.5113566,5.741890427377327e-134
H2AZ2,0.9744022,6.088110020474992e-134
MEF2C,4.500284,6.860201383253797e-134
DUT,1.4630953,1.0603501815360428e-133
COX5A,1.1800262,1.1327568501903046e-133
OSTC,1.4814774,2.6744246437188664e-133
ZC3H12B,1.5360402,2.817269050076433e-133
SPTLC2,1.6320679,8.758245279908044e-133
LAT2,3.7253578,1.3912598232499844e-132
TAPT1,1.4370893,1.8246831034255035e-132
PPIA,0.80083036,5.975187836274598e-132
SLMAP,1.0070987,9.648785934181076e-132
CTCF,1.288272,1.0643511791831964e-131
RAB10,1.1759183,1.2398752134658071e-131
HNRNPD,0.85068357,3.709961667316512e-131
CTSC,1.2011698,5.384919294590821e-131
RTN3,1.8596337,1.225978433862015e-130
TKT,1.578378,1.2988304537984016e-130
HSP90B1,1.3232394,3.97545072229058e-130
MME,4.339462,6.3401166641117676e-130
LINC00342,1.172792,1.083656258099147e-129
RCN2,1.4420983,1.3025238679990926e-129
MTDH,0.879342,1.448566062555461e-129
MED13,1.0056064,3.418649467292739e-129
AGPS,1.3398484,3.8376768327334756e-129
ZNF518A,1.6737722,4.126361827563773e-129
TRIM33,1.0199472,5.279625293563721e-129
PPP4R2,1.2146704,6.403114581427803e-129
EIF4G3,1.0978652,9.147945659716295e-128
MDM4,0.97397554,1.0446226280800137e-127
CHD6,1.0013708,1.0561383732978392e-127
SIVA1,1.2319397,1.0704396860675092e-127
KLHL24,0.9960393,1.664652719487549e-127
CBX3,1.0507962,2.907754919492569e-127
SENP6,0.9319373,5.933324281764986e-127
FLT3,6.011877,6.991854240312577e-127
TCP1,1.4323399,7.43214929783076e-127
DCAF6,1.5307225,9.096124456782353e-127
CANX,1.2802262,1.3070452556510165e-126
PICALM,0.941354,1.695074828542324e-126
MBTD1,1.3528605,2.8986372881901553e-126
NONO,1.0821668,4.126478498443352e-126
SYNCRIP,1.022553,2.4365354290101826e-125
XG,4.5636773,3.195535456042645e-125
SEC61B,0.9455459,7.930793914574461e-125
ABCC1,0.9311222,9.020525220688754e-125
APPL1,1.2825963,1.1194905542241115e-124
TPTEP1,4.6653914,1.1232744112782392e-124
ANKRD36C,1.0396602,1.9013112761695944e-124
ENSG00000274422,3.5771813,2.017091294144842e-124
ZNF711,4.4670525,3.2069052736591704e-124
MCTP1,2.9127047,3.2927568449502556e-124
FDFT1,1.374447,5.355917174631313e-124
TET3,1.6513073,8.284790328170956e-124
USP32,1.5370758,1.0308165396886991e-123
CCDC14,1.5466973,1.305034547261448e-123
NME7,2.0697522,4.132143336501106e-123
PABPN1,1.0030507,4.1972531131673246e-123
TARBP1,1.7114222,6.56654812701628e-123
RCOR1,1.1563209,7.74239928568512e-123
SDCCAG8,1.533515,1.1710799677641572e-122
RBM4,0.9837145,2.0096551333083332e-122
TBC1D5,0.9598148,4.033162491988795e-122
SLC25A5,1.1130508,4.41686835181341e-122
USP14,1.1192044,5.809243380289009e-122
ATP5F1B,1.2063984,6.703007548677436e-122
PRPF40A,0.9136346,7.062468883049247e-122
XPO1,1.2506201,8.429085866211613e-122
CELF1,0.9483536,1.2284575242753226e-121
LPCAT2,5.821722,1.5720844267371122e-121
SND1,1.1178577,1.6194837077507033e-121
NUTM2A-AS1,1.1878084,1.6573149326744462e-121
ELMO1,0.83293366,2.4465785421704437e-121
PLIN3,2.3714442,4.007316123980194e-121
FABP5,1.6383427,4.173560619747504e-121
ATG10,1.8578668,8.347193110660385e-121
HMGN3,1.0980194,2.2148518232118213e-120
CCT2,1.244542,2.3547551703358408e-120
TRAF3IP2-AS1,1.8595915,2.4692947073312043e-120
CAT,2.3669844,3.109605079092725e-120
RCC2,1.8965122,3.39871934842417e-120
HDAC9,2.5651193,8.899357549126123e-120
YWHAE,0.9568888,1.0721136385402157e-119
TOGARAM1,1.673882,1.1651852707207178e-119
TRAF5,1.459699,1.2613137238330925e-119
ST3GAL3,1.6506517,1.452277795231562e-119
RNF144A,1.8178641,2.2747879763249873e-119
PRKACB,1.0468849,4.249675404906686e-119
SLTM,0.86627746,5.012567984099178e-119
HNRNPAB,1.5114874,8.458706722516453e-119
ZBTB44,1.1782999,1.022553540011713e-118
SRGAP3,4.019182,1.0244148088833144e-118
ERC1,1.117708,1.9559905839413943e-118
ASH1L,0.8046023,2.020267985197738e-118
XRCC5,0.9149318,3.359488675051744e-118
GTF3A,0.994625,4.186384500981639e-118
HSP90AB1,0.78278416,4.400114621600796e-118
PAICS,2.2232893,5.592447515581326e-118
TMEM131L,1.0862738,6.042394959847831e-118
CCAR1,1.0558168,9.55886354339978e-118
PGM2L1,2.4600072,1.4407722973081116e-117
ATP5F1A,1.274002,1.6831638549790805e-117
SPN,1.3422459,2.2322197656666613e-117
RC3H1,1.000889,3.2687821734519955e-117
DDX17,0.7975374,3.273301462123e-117
AMBRA1,1.0403678,3.290295195825427e-117
MYO7B,4.325056,4.8029707964817745e-117
SREBF2,1.0151479,1.4448601613908853e-116
ATP6V1H,1.1338423,1.5141669077827648e-116
GMDS-DT,1.3798662,1.8450697748801906e-116
NBDY,0.99524564,4.544641869636799e-116
SMURF2,1.2101051,7.274897725098901e-116
SBNO1,1.1575112,1.4237661081310774e-115
HACD1,5.451004,2.5635169106169725e-115
SEC24B,0.9381037,1.6705370072354912e-114
ENSG00000290928,1.583407,1.7156927326878377e-114
ATXN2,1.5082105,2.0147959608507737e-114
TIAM1,2.0568779,4.617128802877922e-114
NCOR1,0.8357276,5.437977928202417e-114
