,avg_log2FC,p_val_adj
WDFY2,1.9546509,7.845813382842316e-72
HHIP-AS1,6.472791,1.0414731521215393e-70
SYK,5.1699305,1.4170278846587842e-70
TP53INP1,2.4624667,2.045023890170001e-70
MAPK14,1.7398686,2.45554735070526e-70
STAU2,2.0479968,4.106652561578372e-70
RAP1GDS1,1.5947047,5.621857839537929e-70
JARID2,1.4735395,5.831631487278471e-70
LUC7L3,1.0682695,1.8201480661410682e-69
SMYD3,1.2040962,2.6633889182187304e-69
ZNF385D,5.6731052,6.272196252515382e-69
SETBP1,3.0891979,6.665169975193954e-69
DENND1B,1.3989974,2.595035171285752e-68
TCF7,1.2546422,8.46327313894553e-68
DNAJC1,1.5553975,8.857295397266724e-68
MAN1A1,1.7797079,3.769477734637943e-67
TSPAN7,6.941425,9.431711834039003e-67
ITGAE,2.3874347,1.5132598617427024e-66
CEP70,3.5504522,1.757622171869319e-66
MYB,2.8842375,2.1677591330226943e-66
NDST3,7.2235103,2.981948947528281e-65
BCL7A,4.7165494,9.136646119572737e-65
AGTPBP1,1.4065999,1.2441848041650748e-64
CAT,3.2222247,5.539608808888168e-64
CHD9,1.7896146,5.917984045813983e-64
CD82,3.5629685,1.2601049005473072e-63
FNIP1,1.6327431,1.6212249247448784e-63
ITGAM,4.2356515,2.67862748086012e-63
GXYLT2,5.962444,3.5324738212131827e-63
LPCAT2,7.0676627,1.0435759332131484e-62
TFDP2,1.5640296,1.1130996712802115e-62
TM7SF3,2.911509,1.2843322176978938e-62
LRRFIP1,1.0568972,1.4221516896247458e-62
CLIP2,5.305854,3.980257438816596e-62
SCAI,2.5140014,4.06596768039571e-62
GALNT2,2.372581,6.760910952723357e-62
TRGC2,2.0601768,1.1121964275163865e-61
RAB11FIP1,1.9913982,1.8812596705215208e-61
ERGIC1,1.8340064,3.429124682065645e-61
ERG,6.957238,4.102903224547844e-61
CBFA2T3,6.4657516,4.108008801124847e-61
TUBB,2.1250641,4.913555136683574e-61
IFITM2,1.081515,5.617040352167265e-61
SPRY1,4.1909857,2.58801413366539e-60
PALM2AKAP2,2.8329678,4.7050134350502593e-60
SELL,1.4555583,7.122487979374674e-60
MIR646HG,4.840981,1.2974806749122754e-59
STAM,2.1944547,5.448296460503195e-59
PLAC8,1.3860028,6.390840229218953e-59
A1BG,2.24203,1.1267746802847094e-58
TXN,1.3970715,3.212913981987124e-58
CHI3L2,3.4505048,3.6593447959147525e-58
PNISR,0.9830061,3.892200963185019e-58
TUBA1A,1.3545762,4.9535502535622116e-58
RIPOR2,0.96755075,5.001433992056492e-58
FLI1,1.5486237,2.4361444627499527e-57
UBE2E1,1.4835187,8.094478258269875e-57
RUFY3,2.894535,2.542156170758998e-56
MIS18BP1,1.7246118,2.786967899562038e-56
